# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.634355158247e-10       7.798774585376e-15       2.494025926557e-13       7.133001533410e-17       9.064126547491e-11       9.759178583211e-12      -8.453027237057e-15 
   41       1.657967999381e-10       8.465520260394e-15       2.403868262330e-13       7.494298500658e-17       8.616018285153e-11       9.317875384617e-12      -6.474686157095e-15 
   42       1.681665366476e-10       9.172157782780e-15       2.303049148131e-13       7.864813600654e-17       8.196908278174e-11       8.901972555520e-12      -5.691680139812e-15 
   43       1.705544901893e-10       9.918153629244e-15       2.190652268911e-13       8.244569383524e-17       7.805688547866e-11       8.511818980743e-12      -5.889530672552e-15 
   44       1.729685126480e-10       1.070262828991e-14       2.065585418019e-13       8.633588266922e-17       7.439518736856e-11       8.146354591879e-12      -6.787121607021e-15 
   45       1.754139697985e-10       1.152468450731e-14       1.926615100423e-13       9.031888934744e-17       7.094841658477e-11       7.803658503309e-12      -8.071611670822e-15 
   46       1.778924047965e-10       1.238455800875e-14       1.772512642073e-13       9.439474329250e-17       6.771117043978e-11       7.483069512507e-12      -9.525766157497e-15 
   47       1.804020484766e-10       1.328277542968e-14       1.601930132415e-13       9.856340011428e-17       6.467969401916e-11       7.183496938396e-12      -1.093136733376e-14 
   48       1.829378457251e-10       1.421983447652e-14       1.413347167361e-13       1.028247718361e-16       6.184061788225e-11       6.902729827186e-12      -1.203130609709e-14 
   49       1.854911861202e-10       1.519620323575e-14       1.205060859197e-13       1.071787245017e-16       5.917024299465e-11       6.637356271670e-12      -1.252753439739e-14 
   50       1.880533223222e-10       1.621227174288e-14       9.756545742721e-14       1.116250710109e-16       5.664168201013e-11       6.383758853819e-12      -1.217500319833e-14 
   51       1.906273440419e-10       1.726819279409e-14       7.255773191034e-14       1.161635528886e-16       5.425022728291e-11       6.141606693440e-12      -1.109828689068e-14 
   52       1.932189886661e-10       1.836399673048e-14       4.559757922952e-14       1.207938494307e-16       5.199363267758e-11       5.911171815109e-12      -9.557363632152e-15 
   53       1.958331440315e-10       1.949963253391e-14       1.682653668497e-14       1.255155794857e-16       4.986452188529e-11       5.692306543066e-12      -7.861552190898e-15 
   54       1.984737526066e-10       2.067496488952e-14      -1.358573715553e-14       1.303282988374e-16       4.785004306684e-11       5.484413461611e-12      -6.371981333739e-15 
   55       2.011436944822e-10       2.188984826442e-14      -4.548320257279e-14       1.352315485828e-16       4.593579253981e-11       5.286695665732e-12      -5.416580451617e-15 
   56       2.038446218152e-10       2.314437742342e-14      -7.886367402967e-14       1.402250203372e-16       4.411951845733e-11       5.099049131214e-12      -5.004664292053e-15 
   57       2.065769154234e-10       2.443869400158e-14      -1.137712261272e-13       1.453084274841e-16       4.240021649757e-11       4.921339411690e-12      -5.045770274377e-15 
   58       2.093396078322e-10       2.577291500236e-14      -1.502566639994e-13       1.504814571581e-16       4.077398394880e-11       4.753122067913e-12      -5.430006698634e-15 
   59       2.121302866305e-10       2.714713286072e-14      -1.883779445740e-13       1.557437696138e-16       3.923384067887e-11       4.593623548547e-12      -6.027113870350e-15 
   60       2.149449978262e-10       2.856141550635e-14      -2.282005978338e-13       1.610949975949e-16       3.776955010470e-11       4.441722070960e-12      -6.685525225300e-15 
   61       2.177798301272e-10       3.001571328384e-14      -2.697845658474e-13       1.665348214554e-16       3.637046308749e-11       4.296253413797e-12      -7.264191948943e-15 
   62       2.206363019713e-10       3.150955515618e-14      -3.131403147890e-13       1.720632156536e-16       3.503520057787e-11       4.157051755894e-12      -7.738528288721e-15 
   63       2.235170176792e-10       3.304228411263e-14      -3.582635744932e-13       1.776802567186e-16       3.376383654253e-11       4.024109600692e-12      -8.116688978385e-15 
   64       2.264240507771e-10       3.461314145949e-14      -4.051480419017e-13       1.833860541178e-16       3.255498535199e-11       3.897264844671e-12      -8.409002876830e-15 
   65       2.293589006875e-10       3.622126392786e-14      -4.537853713700e-13       1.891807520297e-16       3.140571866527e-11       3.776191967350e-12      -8.628073653777e-15 
   66       2.323224494193e-10       3.786568078153e-14      -5.041651649745e-13       1.950645311162e-16       3.031148231449e-11       3.660393221280e-12      -8.788880475445e-15 
   67       2.353149182578e-10       3.954531092470e-14      -5.562749628199e-13       2.010376102955e-16       2.926601318950e-11       3.549189822041e-12      -8.908878690226e-15 
   68       2.383362834307e-10       4.125907954087e-14      -6.101005757717e-13       2.071002411449e-16       2.826301263123e-11       3.441913338747e-12      -9.005132426500e-15 
   69       2.413877177173e-10       4.300630191876e-14      -6.656271836127e-13       2.132526858303e-16       2.730174613858e-11       3.338544591567e-12      -9.084812641083e-15 
   70       2.444703644858e-10       4.478637256131e-14      -7.228384430111e-13       2.194952378686e-16       2.638243421077e-11       3.239188979801e-12      -9.152945755106e-15 
   71       2.475848735585e-10       4.659865269783e-14      -7.817161638651e-13       2.258282306570e-16       2.550455872471e-11       3.143884112070e-12      -9.215235719486e-15 
   72       2.507313696407e-10       4.844247044892e-14      -8.422403083667e-13       2.322520390579e-16       2.466682474305e-11       3.052596116529e-12      -9.278088790423e-15 
   73       2.539094207490e-10       5.031712099127e-14      -9.043889900671e-13       2.387670809819e-16       2.386712232234e-11       2.965215951083e-12      -9.348638304906e-15 
   74       2.571180066408e-10       5.222186672258e-14      -9.681384729414e-13       2.453738189730e-16       2.310248832114e-11       2.881555713601e-12      -9.434769456207e-15 
   75       2.603554872424e-10       5.415593742639e-14      -1.033463170453e-12       2.520727617920e-16       2.236906820819e-11       2.801344952123e-12      -9.545144069388e-15 
   76       2.636202543932e-10       5.611838847766e-14      -1.100332346654e-12       2.588643744617e-16       2.166307324752e-11       2.724301608267e-12      -9.686513421768e-15 
   77       2.669128940750e-10       5.810764524369e-14      -1.168699527046e-12       2.657487859622e-16       2.098393799082e-11       2.650367939243e-12      -9.855036215445e-15 
   78       2.702343629490e-10       6.012187551603e-14      -1.238511146070e-12       2.727260308626e-16       2.033167185722e-11       2.579511113634e-12      -1.004341505167e-14 
   79       2.735853227446e-10       6.215912139767e-14      -1.309709606310e-12       2.797961358435e-16       1.970589734313e-11       2.511650270381e-12      -1.024343759662e-14 
   80       2.769661227004e-10       6.421729655686e-14      -1.382233209931e-12       2.869591194038e-16       1.910583224134e-11       2.446654359408e-12      -1.044594574605e-14 
   81       2.803767820047e-10       6.629418348106e-14      -1.456016090118e-12       2.942149915679e-16       1.853027186015e-11       2.384339982249e-12      -1.064080478996e-14 
   82       2.838169722362e-10       6.838743073075e-14      -1.530988142509e-12       3.015637535925e-16       1.797757124257e-11       2.324469232678e-12      -1.081687257729e-14 
   83       2.872859998045e-10       7.049455019333e-14      -1.607074956638e-12       3.090053976742e-16       1.744562738537e-11       2.266747537335e-12      -1.096196868052e-14 
   84       2.907831787761e-10       7.261316327815e-14      -1.684207034712e-12       3.165399181387e-16       1.693239056601e-11       2.210893288734e-12      -1.106528537201e-14 
   85       2.943090588271e-10       7.474179241135e-14      -1.762349354096e-12       3.241673477859e-16       1.643753466732e-11       2.156864737783e-12      -1.112514733038e-14 
   86       2.978643696110e-10       7.687919632928e-14      -1.841476602741e-12       3.318877270608e-16       1.596103244438e-11       2.104666931022e-12      -1.114248777506e-14 
   87       3.014496376381e-10       7.902413422023e-14      -1.921564413821e-12       3.397010930083e-16       1.550264227949e-11       2.054282323816e-12      -1.111853108306e-14 
   88       3.050651752763e-10       8.117536716220e-14      -2.002589453258e-12       3.476074791729e-16       1.506189929387e-11       2.005669827580e-12      -1.105480299243e-14 
   89       3.087110697539e-10       8.333165956066e-14      -2.084529507249e-12       3.556069154987e-16       1.463810645937e-11       1.958763856997e-12      -1.095314080581e-14 
   90       3.123871721607e-10       8.549178058631e-14      -2.167363569796e-12       3.636994282296e-16       1.423032571019e-11       1.913473377241e-12      -1.081570359392e-14 
   91       3.160930864500e-10       8.765450561282e-14      -2.251071930228e-12       3.718850398093e-16       1.383736905453e-11       1.869680951201e-12      -1.064498239912e-14 
   92       3.198281584404e-10       8.981861765459e-14      -2.335636260732e-12       3.801637687810e-16       1.345778968638e-11       1.827241786700e-12      -1.044381043887e-14 
   93       3.235917251678e-10       9.198278913666e-14      -2.421030813711e-12       3.885357394708e-16       1.309022539094e-11       1.786020085043e-12      -1.021539005479e-14 
   94       3.273839297292e-10       9.414520374076e-14      -2.507194309317e-12       3.970015301236e-16       1.273450714746e-11       1.746006409648e-12      -9.963356033503e-15 
   95       3.312050092269e-10       9.630388007851e-14      -2.594053961955e-12       4.055618771854e-16       1.239070160262e-11       1.707216290210e-12      -9.691740718848e-15 
   96       3.350550380135e-10       9.845678608949e-14      -2.681533959676e-12       4.142175715741e-16       1.205876963495e-11       1.669654059383e-12      -9.404968408486e-15 
   97       3.389339202670e-10       1.006018388364e-13      -2.769555429665e-12       4.229694600862e-16       1.173856230242e-11       1.633312412036e-12      -9.107865787286e-15 
