# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.633362259727e-10       7.727933566724e-15       2.496059692825e-13       0.000000000000e+00       9.064126547491e-11       9.759178583211e-12      -8.453027237057e-15 
   41       1.656933435290e-10       8.391160902476e-15       2.406054192780e-13       0.000000000000e+00       8.616018285153e-11       9.317875384617e-12      -6.474686157095e-15 
   42       1.680588652308e-10       9.094200601706e-15       2.305392367437e-13       0.000000000000e+00       8.196908278174e-11       8.901972555520e-12      -5.691680139812e-15 
   43       1.704425580577e-10       9.836520021522e-15       2.193157392219e-13       0.000000000000e+00       7.805688547866e-11       8.511818980743e-12      -5.889530672552e-15 
   44       1.728522769349e-10       1.061724058929e-14       2.068256468882e-13       0.000000000000e+00       7.439518736856e-11       8.146354591879e-12      -6.787121607021e-15 
   45       1.752933904210e-10       1.143546609782e-14       1.929455425292e-13       0.000000000000e+00       7.094841658477e-11       7.803658503309e-12      -8.071611670822e-15 
   46       1.777674438660e-10       1.229143362274e-14       1.775524822195e-13       0.000000000000e+00       6.771117043978e-11       7.483069512507e-12      -9.525766157497e-15 
   47       1.802726700953e-10       1.318567131874e-14       1.605115891084e-13       0.000000000000e+00       6.467969401916e-11       7.183496938396e-12      -1.093136733376e-14 
   48       1.828040159279e-10       1.411867853710e-14       1.416707273053e-13       0.000000000000e+00       6.184061788225e-11       6.902729827186e-12      -1.203130609709e-14 
   49       1.853528728154e-10       1.509092513942e-14       1.208595024932e-13       0.000000000000e+00       5.917024299465e-11       6.637356271670e-12      -1.252753439739e-14 
   50       1.879104951679e-10       1.610280309739e-14       9.793613825960e-14       0.000000000000e+00       5.664168201013e-11       6.383758853819e-12      -1.217500319833e-14 
   51       1.904799741181e-10       1.715446739597e-14       7.294542409548e-14       0.000000000000e+00       5.425022728291e-11       6.141606693440e-12      -1.109828689068e-14 
   52       1.930670482926e-10       1.824595075895e-14       4.600191309360e-14       0.000000000000e+00       5.199363267758e-11       5.911171815109e-12      -9.557363632152e-15 
   53       1.956766066380e-10       1.937720472667e-14       1.724701722722e-14       0.000000000000e+00       4.986452188529e-11       5.692306543066e-12      -7.861552190898e-15 
   54       1.983125925975e-10       2.054809672440e-14      -1.314973906184e-14       0.000000000000e+00       4.785004306684e-11       5.484413461611e-12      -6.371981333739e-15 
   55       2.009778872561e-10       2.175848407842e-14      -4.503245346766e-14       0.000000000000e+00       4.593579253981e-11       5.286695665732e-12      -5.416580451617e-15 
   56       2.036741443034e-10       2.300846431226e-14      -7.839906246550e-14       0.000000000000e+00       4.411951845733e-11       5.099049131214e-12      -5.004664292053e-15 
   57       2.064017462295e-10       2.429818189451e-14      -1.132937617334e-13       0.000000000000e+00       4.240021649757e-11       4.921339411690e-12      -5.045770274377e-15 
   58       2.091597272258e-10       2.562775680389e-14      -1.497674819069e-13       0.000000000000e+00       4.077398394880e-11       4.753122067913e-12      -5.430006698634e-15 
   59       2.119456765424e-10       2.699728459560e-14      -1.878783098558e-13       0.000000000000e+00       3.923384067887e-11       4.593623548547e-12      -6.027113870350e-15 
   60       2.147556418447e-10       2.840683646769e-14      -2.276919099606e-13       0.000000000000e+00       3.776955010470e-11       4.441722070960e-12      -6.685525225300e-15 
   61       2.175857137588e-10       2.985636599908e-14      -2.692683586963e-13       0.000000000000e+00       3.637046308749e-11       4.296253413797e-12      -7.264191948943e-15 
   62       2.204374137572e-10       3.134540475100e-14      -3.126182421086e-13       0.000000000000e+00       3.503520057787e-11       4.157051755894e-12      -7.738528288721e-15 
   63       2.233133496514e-10       3.287329814688e-14      -3.577374066606e-13       0.000000000000e+00       3.376383654253e-11       4.024109600692e-12      -8.116688978385e-15 
